vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
city,Middlesex Centre,geonames,http://sws.geonames.org/6073257,43.01679,-81.41646,
city,Midland,geonames,http://sws.geonames.org/6073363,44.7501,-79.88296,
city,Milan,geonames,http://sws.geonames.org/3173435,45.46427,9.18951,
city,Mildmay,geonames,http://sws.geonames.org/6073561,44.043,-81.11889,
city,Mildway,geonames,http://sws.geonames.org/6073561,44.043,-81.11889,
city,Millbrook,geonames,http://sws.geonames.org/6073749,44.15012,-78.44954,
city,Miller Lake,geonames,http://sws.geonames.org/6073988,45.10149,-81.4422,
city,Milton,geonames,http://sws.geonames.org/6074377,43.51681,-79.88294,
city,Milwaukee,geonames,http://sws.geonames.org/5263045,43.0389,-87.90647,
city,Mink Creek,geonames,http://sws.geonames.org/6074759,51.4206,-100.48647,
city,Minto,geonames,http://sws.geonames.org/6075007,43.91679,-80.84972,
city,Miramichi,geonames,http://sws.geonames.org/6075081,47.02895,-65.50186,
city,Mississauga,geonames,http://sws.geonames.org/6075357,43.5789,-79.6583,
city,Mississippi Mills,geonames,http://sws.geonames.org/6075370,45.23341,-76.19939,
city,Mobile,geonames,http://sws.geonames.org/6075825,47.24989,-52.84805,
city,Mono,geonames,http://sws.geonames.org/6076359,44.01689,-80.06673,
city,Mont-Laurier,geonames,http://sws.geonames.org/6077128,46.55011,-75.4993,
city,Montreal,geonames,http://sws.geonames.org/6077243,45.50884,-73.58781,
city,Moore Park,geonames,http://sws.geonames.org/6077769,50.06643,-99.78025,
city,Moose Jaw,geonames,http://sws.geonames.org/6078112,50.40005,-105.53445,
city,Moose Mountain NO. 63,geonames,http://sws.geonames.org/6078251,49.66673,-102.16766,
city,Morris,geonames,http://sws.geonames.org/6078726,49.4,-97.45898,
city,Morrisburg,geonames,http://sws.geonames.org/6078737,44.9001,-75.18261,
city,Mountain Road,geonames,http://sws.geonames.org/6079649,50.44562,-99.65582,
city,Muskoka Lakes,geonames,http://sws.geonames.org/6084946,45.1668,-79.58294,
city,Nanjing,geonames,http://sws.geonames.org/1799962,32.06167,118.77778,
city,Napanee,geonames,http://sws.geonames.org/5965812,44.25012,-76.94944,
city,Napanee,geonames,http://sws.geonames.org/5965812,44.25012,-76.94944,
city,Nashville,geonames,http://sws.geonames.org/4644585,36.16589,-86.78444,
city,Nendeln,geonames,http://sws.geonames.org/3042052,47.19846,9.543,
city,Neuchatel,geonames,http://sws.geonames.org/2659496,46.99179,6.931,
city,New Haven,geonames,http://sws.geonames.org/4839366,41.30815,-72.92816,
city,New Liskeard,geonames,http://sws.geonames.org/6087661,47.50816,-79.67594,
city,New Tecumseth,geonames,http://sws.geonames.org/6087779,44.08857,-79.74426,
city,New Tecumseth,geonames,http://sws.geonames.org/6087779,44.08857,-79.74426,
city,Newburyport,geonames,http://sws.geonames.org/4945256,42.81259,-70.87728,
city,Newcastle upon Tyne,geonames,http://sws.geonames.org/2641673,54.97328,-1.61396,
city,Newmarket,geonames,http://sws.geonames.org/6087701,44.05011,-79.46631,
city,Newport,geonames,http://sws.geonames.org/5239068,44.93752,-72.20881,
