vid,name,authority,field_authority_link
language,Mandingo,iso639-2b,http://id.loc.gov/vocabulary/languages/man
language,Maori,iso639-2b,http://id.loc.gov/vocabulary/languages/mao
language,Austronesian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/map
language,Marathi,iso639-2b,http://id.loc.gov/vocabulary/languages/mar
language,Maasai,iso639-2b,http://id.loc.gov/vocabulary/languages/mas
language,Malay,iso639-2b,http://id.loc.gov/vocabulary/languages/may
language,Moksha,iso639-2b,http://id.loc.gov/vocabulary/languages/mdf
language,Mandar,iso639-2b,http://id.loc.gov/vocabulary/languages/mdr
language,Mende,iso639-2b,http://id.loc.gov/vocabulary/languages/men
language,"Irish, Middle (ca. 1100-1550)",iso639-2b,http://id.loc.gov/vocabulary/languages/mga
language,Micmac,iso639-2b,http://id.loc.gov/vocabulary/languages/mic
language,Minangkabau,iso639-2b,http://id.loc.gov/vocabulary/languages/min
language,Miscellaneous languages,iso639-2b,http://id.loc.gov/vocabulary/languages/mis
language,Mon-Khmer (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/mkh
language,Malagasy,iso639-2b,http://id.loc.gov/vocabulary/languages/mlg
language,Maltese,iso639-2b,http://id.loc.gov/vocabulary/languages/mlt
language,Manchu,iso639-2b,http://id.loc.gov/vocabulary/languages/mnc
language,Manipuri,iso639-2b,http://id.loc.gov/vocabulary/languages/mni
language,Manobo languages,iso639-2b,http://id.loc.gov/vocabulary/languages/mno
language,Mohawk,iso639-2b,http://id.loc.gov/vocabulary/languages/moh
language,Mongolian,iso639-2b,http://id.loc.gov/vocabulary/languages/mon
language,Mooré,iso639-2b,http://id.loc.gov/vocabulary/languages/mos
language,Multiple languages,iso639-2b,http://id.loc.gov/vocabulary/languages/mul
language,Munda (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/mun
language,Creek,iso639-2b,http://id.loc.gov/vocabulary/languages/mus
language,Mirandese,iso639-2b,http://id.loc.gov/vocabulary/languages/mwl
language,Marwari,iso639-2b,http://id.loc.gov/vocabulary/languages/mwr
language,Mayan languages,iso639-2b,http://id.loc.gov/vocabulary/languages/myn
language,Erzya,iso639-2b,http://id.loc.gov/vocabulary/languages/myv
language,Nahuatl,iso639-2b,http://id.loc.gov/vocabulary/languages/nah
language,North American Indian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/nai
language,Neapolitan Italian,iso639-2b,http://id.loc.gov/vocabulary/languages/nap
language,Nauru,iso639-2b,http://id.loc.gov/vocabulary/languages/nau
language,Navajo,iso639-2b,http://id.loc.gov/vocabulary/languages/nav
language,Ndebele (South Africa),iso639-2b,http://id.loc.gov/vocabulary/languages/nbl
language,Ndebele (Zimbabwe),iso639-2b,http://id.loc.gov/vocabulary/languages/nde
language,Ndonga,iso639-2b,http://id.loc.gov/vocabulary/languages/ndo
language,Low German,iso639-2b,http://id.loc.gov/vocabulary/languages/nds
language,Nepali,iso639-2b,http://id.loc.gov/vocabulary/languages/nep
language,Newari,iso639-2b,http://id.loc.gov/vocabulary/languages/new
language,Nias,iso639-2b,http://id.loc.gov/vocabulary/languages/nia
language,Niger-Kordofanian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/nic
language,Niuean,iso639-2b,http://id.loc.gov/vocabulary/languages/niu
language,Norwegian (Nynorsk),iso639-2b,http://id.loc.gov/vocabulary/languages/nno
language,Norwegian (Bokmål),iso639-2b,http://id.loc.gov/vocabulary/languages/nob
language,Nogai,iso639-2b,http://id.loc.gov/vocabulary/languages/nog
language,Old Norse,iso639-2b,http://id.loc.gov/vocabulary/languages/non
language,Norwegian,iso639-2b,http://id.loc.gov/vocabulary/languages/nor
language,N'Ko,iso639-2b,http://id.loc.gov/vocabulary/languages/nqo
language,Northern Sotho,iso639-2b,http://id.loc.gov/vocabulary/languages/nso
language,Nubian languages,iso639-2b,http://id.loc.gov/vocabulary/languages/nub
language,"Newari, Old",iso639-2b,http://id.loc.gov/vocabulary/languages/nwc
language,Nyanja,iso639-2b,http://id.loc.gov/vocabulary/languages/nya
language,Nyamwezi,iso639-2b,http://id.loc.gov/vocabulary/languages/nym
language,Nyankole,iso639-2b,http://id.loc.gov/vocabulary/languages/nyn
language,Nyoro,iso639-2b,http://id.loc.gov/vocabulary/languages/nyo
language,Nzima,iso639-2b,http://id.loc.gov/vocabulary/languages/nzi
language,Occitan (post-1500),iso639-2b,http://id.loc.gov/vocabulary/languages/oci
language,Ojibwa,iso639-2b,http://id.loc.gov/vocabulary/languages/oji
language,Oriya,iso639-2b,http://id.loc.gov/vocabulary/languages/ori
language,Oromo,iso639-2b,http://id.loc.gov/vocabulary/languages/orm
language,Osage,iso639-2b,http://id.loc.gov/vocabulary/languages/osa
language,Ossetic,iso639-2b,http://id.loc.gov/vocabulary/languages/oss
language,"Turkish, Ottoman",iso639-2b,http://id.loc.gov/vocabulary/languages/ota
language,Otomian languages,iso639-2b,http://id.loc.gov/vocabulary/languages/oto
language,Papuan (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/paa
language,Pangasinan,iso639-2b,http://id.loc.gov/vocabulary/languages/pag
language,Pahlavi,iso639-2b,http://id.loc.gov/vocabulary/languages/pal
language,Pampanga,iso639-2b,http://id.loc.gov/vocabulary/languages/pam
language,Panjabi,iso639-2b,http://id.loc.gov/vocabulary/languages/pan
language,Papiamento,iso639-2b,http://id.loc.gov/vocabulary/languages/pap
language,Palauan,iso639-2b,http://id.loc.gov/vocabulary/languages/pau
language,Old Persian (ca. 600-400 B.C.),iso639-2b,http://id.loc.gov/vocabulary/languages/peo
language,Persian,iso639-2b,http://id.loc.gov/vocabulary/languages/per
language,Philippine (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/phi
language,Phoenician,iso639-2b,http://id.loc.gov/vocabulary/languages/phn
language,Pali,iso639-2b,http://id.loc.gov/vocabulary/languages/pli
language,Polish,iso639-2b,http://id.loc.gov/vocabulary/languages/pol
language,Pohnpeian,iso639-2b,http://id.loc.gov/vocabulary/languages/pon
language,Portuguese,iso639-2b,http://id.loc.gov/vocabulary/languages/por
language,Prakrit languages,iso639-2b,http://id.loc.gov/vocabulary/languages/pra
language,Provençal (to 1500),iso639-2b,http://id.loc.gov/vocabulary/languages/pro
language,Pushto,iso639-2b,http://id.loc.gov/vocabulary/languages/pus
language,Quechua,iso639-2b,http://id.loc.gov/vocabulary/languages/que
language,Rajasthani,iso639-2b,http://id.loc.gov/vocabulary/languages/raj
language,Rapanui,iso639-2b,http://id.loc.gov/vocabulary/languages/rap
language,Rarotongan,iso639-2b,http://id.loc.gov/vocabulary/languages/rar
language,Romance (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/roa
language,Raeto-Romance,iso639-2b,http://id.loc.gov/vocabulary/languages/roh
language,Romani,iso639-2b,http://id.loc.gov/vocabulary/languages/rom
language,Romanian,iso639-2b,http://id.loc.gov/vocabulary/languages/rum
language,Rundi,iso639-2b,http://id.loc.gov/vocabulary/languages/run
language,Aromanian,iso639-2b,http://id.loc.gov/vocabulary/languages/rup
language,Russian,iso639-2b,http://id.loc.gov/vocabulary/languages/rus
language,Sandawe,iso639-2b,http://id.loc.gov/vocabulary/languages/sad
language,Sango (Ubangi Creole),iso639-2b,http://id.loc.gov/vocabulary/languages/sag
